Title,Helpfull-statement,Username,Images,Rating,Creation-date,Review
Awesome product,-,Rishitaaa,-,5,2020-03-24T12:32:17,The dial is small but really good for people with small wrist size... I got a orignal product and I m very satisfied
Excellent,-,Amazon Customer,-,5,2020-03-25T17:59:17,Very nice
Watch,-,NJ,-,5,2020-07-23T17:59:17,Small size..bt it s good.. doesn t have invoice and also warranty card didn t have seal..
Excellent product,-,Ramya Arulanantham,-,5,2020-03-19T13:59:17,Amazing simply super i gift to my friend she like it very much
Beautiful watch,-,Dinesh(BãďŚhàáh),-,5,2020-05-17T17:59:17,Beautiful
Very classy,-,vani,-,5,2020-02-22T16:59:17,Very good product
Superb,-,sree,-,5,2020-07-23T17:59:17,I presented this watch to my frnd of her birthday.... She loved it very muchThank to amazon service
Good one at this price,-,Gauri,-,5,2020-04-15T17:59:17,Dial too small. Otherwise product is good according to the price.
Very Nice Product looking so good,-,G Ravikumar,-,5,2020-05-15T12:59:17,My daughter so happy with this product
Good prodouct.....,-,mamta manish gavankar,-,5,2020-04-15T17:59:17,good ..nice
Satisfied,-,Deep chetia,-,5,2020-03-19T13:59:17,I have purchased this watch for my gf...she was very happy with that..and the product s quality is very good..the item is same as displayed on the screen..go for it
Nice,-,Keerti,-,5,2020-03-24T12:32:17,I bought it to gift to my sister. She just loved it.
Nothing,-,shahid akhtar ansari,-,5,2020-06-18T12:59:17,Like
Nice,-,sandeep,-,5,2020-09-29T17:59:17,Nice..
Please give new one,-,Vinoth Venkatesh,-,5,2020-03-24T12:32:17,I can t find the tag in watch ...When i opened the watch dial was running....So i thought it was returned by someone...Looking like that...
Great watch,-,Susmita.. 🙂,-,5,2020-03-19T13:59:17,Just awesome watch... Got compliments on it
Best gift,-,Pushpender,-,5,2020-04-23T14:12:17,One of the best gift you can give to someone I have gifted it to my life  it brings smile on her face.Thnqqq so much Amazon.
Lovely Experience,-,Aakash,-,5,2020-08-24T11:59:17,Purchased for my loved one as her birthday gift  she really liked it.
Classy One,-,Pavani,-,5,2020-07-23T17:59:17,Such an elegant and pretty watch.It s worth the price.Trendy and cool.Loved it totally.The dial looks so sassy.
Worth for the money,-,A buyer,-,5,2020-04-23T14:12:17,Its a good looking product just as shown in the picture. Received in good working condition. Not a very big dial. Apt for small wrists
Very pretty,-,Abhishek Gowda,-,5,2020-07-16T12:59:17,Very pretty. Very much giftable.. In fact I gifted this to my girlfriend and she very much liked it.
Worth to buy,-,NARESH,-,5,2020-01-23T12:59:17,Worth to buy
Blessed,-,aashiq manzoor,-,5,2020-06-18T12:59:17,She wears it with prideWhat else is thr to say ;)
Good,-,sandeep kumar,-,5,2020-07-23T17:59:17,Good
Best of fastrack.,-,T. K. Shee,-,5,2020-02-22T16:59:17,Original and best.
Obviously great,-,Benson z xingxit,-,5,2020-08-24T11:59:17,Wow I love it very much.good material good designs and also light weight and comfortable for hand. Love it very much long live the company.
Puclvivo,-,Anand,-,5,2020-09-06T17:39:17,Ligihh
Dell is small size,-,Mano,-,5,2020-09-25T15:59:17,Not much satisfied.dell is very small in soze disappointed
Satisfied,-,Bornali Deb,-,5,2020-06-26T14:59:17,A decent buy
Quality Watch,-,Ashish Thakur,-,5,2020-07-23T17:59:17,Worth buying
Good,-,Neelam,-,5,2020-01-18T17:53:17,Good product
GOOD....,One person found this helpful,Amazon Customer,-,5,2020-02-22T16:59:17,Good watch....
waste u r money,-,J Venu babu,-,5,2020-06-26T14:59:17,Worst worst experience
Awesome product,-,Anku Trivedi,-,5,2020-05-22T11:59:17,Awesome fit
One word awsome,-,Viswambhar dash,-,5,2020-02-10T17:59:17,As expected
No warranty and batteries,-,anisha dadheech,-,5,2020-04-23T14:12:17,The product is nice but there is no stamp on the warranty card and also there are no batteries inside the watch.
Good,-,Srinivasa Rao,-,5,2020-03-19T13:59:17,Good quality product
Overall good,-,mukesh,-,5,2020-01-11T11:59:17,It s good
